Year,CIRI Country ID,Country,UN Country ID,UN Region,UN Subregion,Physical Integrity Rights Index,Disappearance,Extrajudicial Killing,Political Imprisonment,Torture,Empowerment Rights Index (Old),Empowerment Rights Index (New),Freedom of Assembly and Association,Freedom of Foreign Movement,Freedom of Domestic Movement,Freedom of Movement (Old),Freedom of Speech,Electoral Self-Determination,Freedom of Religion (Old),Freedom of Religion (New),Employment Rights,Women’s Economic Rights,Women’s Political Rights,Women’s Social Rights,Independence of Judiciary
1982,122,Armenia,51,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1983,122,Armenia,51,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1984,122,Armenia,51,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1985,122,Armenia,51,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1986,122,Armenia,51,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1987,122,Armenia,51,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1988,122,Armenia,51,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1989,122,Armenia,51,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1990,122,Armenia,51,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1991,122,Armenia,51,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1992,122,Armenia,51,Asia,Western Asia,8,2,2,2,2,4,8,2,0,2,0,1,1,1,2,0,0,2,0,1
1993,122,Armenia,51,Asia,Western Asia,7,2,2,2,1,3,9,2,1,2,0,1,2,0,1,0,1,2,1,1
1994,122,Armenia,51,Asia,Western Asia,7,2,2,2,1,3,8,2,0,2,0,1,1,0,1,1,1,2,1,1
1995,122,Armenia,51,Asia,Western Asia,5,2,2,1,0,1,3,1,0,1,0,1,0,0,0,0,1,2,1,1
1996,122,Armenia,51,Asia,Western Asia,5,2,2,0,1,2,6,1,1,1,0,1,1,0,1,0,1,2,1,1
1997,122,Armenia,51,Asia,Western Asia,5,2,2,1,0,2,6,1,1,1,0,1,1,0,1,0,1,2,1,1
1998,122,Armenia,51,Asia,Western Asia,4,2,1,1,0,2,7,2,1,1,0,1,0,0,1,1,1,2,1,1
1999,122,Armenia,51,Asia,Western Asia,6,2,2,2,0,4,8,2,1,1,0,1,1,0,0,2,1,2,1,1
2000,122,Armenia,51,Asia,Western Asia,4,2,1,1,0,2,6,1,1,1,0,1,0,0,1,1,1,1,1,1
2001,122,Armenia,51,Asia,Western Asia,6,2,2,2,0,4,9,2,1,1,0,1,1,0,1,2,1,2,1,1
2002,122,Armenia,51,Asia,Western Asia,6,2,2,2,0,4,8,2,1,1,0,1,1,0,0,2,1,2,1,1
2003,122,Armenia,51,Asia,Western Asia,6,2,2,1,1,1,5,2,1,1,0,1,0,0,0,0,1,1,1,1
2004,122,Armenia,51,Asia,Western Asia,4,2,2,0,0,5,8,1,1,2,0,1,1,1,1,1,1,1,2,1
2005,122,Armenia,51,Asia,Western Asia,5,2,2,1,0,3,8,1,1,2,0,1,1,0,1,1,1,1,,0
2006,122,Armenia,51,Asia,Western Asia,5,2,2,1,0,4,7,1,1,2,1,1,1,0,1,0,1,2,,0
2007,122,Armenia,51,Asia,Western Asia,3,2,1,0,0,,6,1,1,1,,1,1,,1,0,2,2,1,0
2008,122,Armenia,51,Asia,Western Asia,3,2,1,0,0,,3,0,1,1,,0,0,,1,0,1,2,,0
2009,122,Armenia,51,Asia,Western Asia,3,2,1,0,0,,3,0,1,1,,0,0,,1,0,1,2,,0
2010,122,Armenia,51,Asia,Western Asia,3,2,1,0,0,,3,0,1,1,,0,0,,1,0,1,2,,0
2011,122,Armenia,51,Asia,Western Asia,4,2,1,1,0,,6,1,1,1,,1,1,,0,1,1,2,,0
1981,125,Australia,36,Oceania,Australia & New Zealand,8,2,2,2,2,9,13,2,2,2,1,2,1,1,2,2,-999,2,-999,2
1982,125,Australia,36,Oceania,Australia & New Zealand,8,2,2,2,2,10,14,2,2,2,1,2,2,1,2,2,-999,2,-999,2
1983,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,1,2,1,2
1984,125,Australia,36,Oceania,Australia & New Zealand,8,2,2,2,2,10,14,2,2,2,1,2,2,1,2,2,2,2,2,2
1985,125,Australia,36,Oceania,Australia & New Zealand,8,2,2,2,2,10,14,2,2,2,1,2,2,1,2,2,2,2,2,2
1986,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,2,2
1987,125,Australia,36,Oceania,Australia & New Zealand,8,2,2,2,2,9,13,2,2,2,1,2,1,1,2,2,2,2,2,2
1988,125,Australia,36,Oceania,Australia & New Zealand,6,2,2,1,1,10,14,2,2,2,1,2,2,1,2,2,2,2,2,2
1989,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,2,2
1990,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,9,13,2,2,2,1,2,1,1,2,2,2,2,2,2
1991,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,3,2
1992,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,3,2
1993,125,Australia,36,Oceania,Australia & New Zealand,8,2,2,2,2,8,12,2,2,2,1,1,1,1,2,2,2,2,3,2
1994,125,Australia,36,Oceania,Australia & New Zealand,6,2,2,1,1,9,13,2,2,2,1,1,2,1,2,2,2,2,2,2
1995,125,Australia,36,Oceania,Australia & New Zealand,8,2,2,2,2,10,14,2,2,2,1,2,2,1,2,2,2,2,2,2
1996,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,9,13,2,2,2,1,2,2,1,2,1,2,2,2,2
1997,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,9,13,2,2,2,1,2,2,1,2,1,2,2,3,2
1998,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,9,13,2,2,2,1,2,2,1,2,1,2,2,2,2
1999,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,9,13,2,2,2,1,2,2,1,2,1,2,2,3,2
2000,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,9,13,2,2,2,1,2,2,1,2,1,2,2,3,2
2001,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,9,13,2,2,2,1,2,2,1,2,1,2,2,3,2
2002,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,9,13,2,2,2,1,2,2,1,2,1,2,2,3,2
2003,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,9,13,2,2,2,1,2,2,1,2,1,3,2,3,2
2004,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,9,13,2,2,2,1,2,2,1,2,1,3,2,2,2
2005,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,9,13,2,2,2,1,2,2,1,2,1,3,2,,2
2006,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,9,13,2,2,2,1,2,2,1,2,1,3,2,,2
2007,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,,13,2,2,2,,2,2,,2,1,3,2,3,2
2008,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,,11,2,2,2,,2,2,,0,1,2,3,,2
2009,125,Australia,36,Oceania,Australia & New Zealand,6,2,1,2,1,,13,2,2,2,,2,2,,2,1,3,3,,2
2010,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,,13,2,2,2,,2,2,,2,1,3,3,,2
2011,125,Australia,36,Oceania,Australia & New Zealand,7,2,2,2,1,,14,2,2,2,,2,2,,2,2,3,2,,2
1981,128,Austria,40,Europe,Western Europe,8,2,2,2,2,10,13,1,2,2,1,2,2,1,2,2,2,2,2,2
1982,128,Austria,40,Europe,Western Europe,8,2,2,2,2,9,12,1,2,2,1,1,2,1,2,2,1,2,-999,2
1983,128,Austria,40,Europe,Western Europe,8,2,2,2,2,8,11,1,2,2,1,1,1,1,2,2,1,2,-999,2
1984,128,Austria,40,Europe,Western Europe,8,2,2,2,2,10,13,1,2,2,1,2,2,1,2,2,1,2,-999,2
1985,128,Austria,40,Europe,Western Europe,8,2,2,2,2,10,13,1,2,2,1,2,2,1,2,2,1,2,1,2
1986,128,Austria,40,Europe,Western Europe,8,2,2,2,2,10,13,1,2,2,1,2,2,1,2,2,1,2,1,2
1987,128,Austria,40,Europe,Western Europe,8,2,2,2,2,10,13,1,2,2,1,2,2,1,2,2,1,2,1,2
1988,128,Austria,40,Europe,Western Europe,6,2,2,1,1,10,13,1,2,2,1,2,2,1,2,2,1,2,1,2
1989,128,Austria,40,Europe,Western Europe,7,2,2,2,1,6,11,1,2,2,1,1,1,0,2,2,2,2,1,2
1990,128,Austria,40,Europe,Western Europe,7,2,2,2,1,8,13,1,2,2,1,2,2,0,2,2,2,2,1,2
1991,128,Austria,40,Europe,Western Europe,7,2,2,2,1,10,13,1,2,2,1,2,2,1,2,2,2,2,2,2
1992,128,Austria,40,Europe,Western Europe,7,2,2,2,1,10,13,1,2,2,1,2,2,1,2,2,2,2,2,2
1993,128,Austria,40,Europe,Western Europe,7,2,2,2,1,10,13,1,2,2,1,2,2,1,2,2,2,2,2,2
1994,128,Austria,40,Europe,Western Europe,7,2,2,2,1,10,13,1,2,2,1,2,2,1,2,2,2,2,2,2
1995,128,Austria,40,Europe,Western Europe,7,2,2,2,1,9,12,1,2,2,1,1,2,1,2,2,2,2,2,2
1996,128,Austria,40,Europe,Western Europe,8,2,2,2,2,7,12,1,2,2,1,1,2,0,2,2,2,2,2,2
1997,128,Austria,40,Europe,Western Europe,8,2,2,2,2,7,11,1,2,2,1,1,2,0,1,2,2,2,2,2
1998,128,Austria,40,Europe,Western Europe,6,2,2,2,0,6,10,1,2,2,1,1,2,0,1,1,2,2,2,2
1999,128,Austria,40,Europe,Western Europe,7,2,2,2,1,7,11,1,2,2,1,1,2,0,1,2,2,2,-999,2
2000,128,Austria,40,Europe,Western Europe,5,2,1,2,0,6,10,1,2,2,1,1,2,0,1,1,2,3,-999,2
2001,128,Austria,40,Europe,Western Europe,7,2,2,2,1,7,11,1,2,2,1,1,2,0,1,2,2,3,-999,2
2002,128,Austria,40,Europe,Western Europe,7,2,2,2,1,9,11,1,2,2,1,1,2,1,1,2,2,3,-999,2
2003,128,Austria,40,Europe,Western Europe,6,2,1,2,1,9,11,1,2,2,1,1,2,1,1,2,2,3,2,2
2004,128,Austria,40,Europe,Western Europe,7,2,2,2,1,9,11,1,2,2,1,1,2,1,1,2,2,3,-999,2
2005,128,Austria,40,Europe,Western Europe,7,2,2,2,1,9,11,1,2,2,1,1,2,1,1,2,2,3,,2
2006,128,Austria,40,Europe,Western Europe,7,2,2,2,1,9,12,2,2,2,1,1,2,1,1,2,2,3,,2
2007,128,Austria,40,Europe,Western Europe,7,2,2,2,1,,12,2,2,2,,1,2,,1,2,3,3,2,2
2008,128,Austria,40,Europe,Western Europe,7,2,2,2,1,,12,2,2,2,,1,2,,2,1,2,3,,2
2009,128,Austria,40,Europe,Western Europe,7,2,1,2,2,,12,2,2,2,,1,2,,1,2,2,2,,2
2010,128,Austria,40,Europe,Western Europe,7,2,2,2,1,,13,2,2,2,,1,2,,2,2,3,3,,2
2011,128,Austria,40,Europe,Western Europe,7,2,2,2,1,,12,2,2,2,,1,2,,2,1,3,3,,2
1981,131,Azerbaijan,31,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1982,131,Azerbaijan,31,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1983,131,Azerbaijan,31,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1984,131,Azerbaijan,31,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1985,131,Azerbaijan,31,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1986,131,Azerbaijan,31,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1987,131,Azerbaijan,31,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1988,131,Azerbaijan,31,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1989,131,Azerbaijan,31,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1990,131,Azerbaijan,31,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1991,131,Azerbaijan,31,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
1992,131,Azerbaijan,31,Asia,Western Asia,4,1,1,1,1,2,6,1,1,2,0,1,0,0,0,1,1,1,1,1
1993,131,Azerbaijan,31,Asia,Western Asia,3,0,2,0,1,1,4,0,1,1,0,0,0,0,1,1,2,2,1,0
1994,131,Azerbaijan,31,Asia,Western Asia,3,1,1,0,1,1,4,0,0,1,0,0,0,0,2,1,1,2,1,0
1995,131,Azerbaijan,31,Asia,Western Asia,4,2,1,0,1,3,5,1,1,1,1,0,0,0,1,1,1,2,1,0
1996,131,Azerbaijan,31,Asia,Western Asia,3,2,1,0,0,2,4,1,1,2,1,0,0,0,0,0,1,2,1,0
1997,131,Azerbaijan,31,Asia,Western Asia,3,2,1,0,0,5,7,0,2,2,1,1,1,0,0,1,1,2,1,0
1998,131,Azerbaijan,31,Asia,Western Asia,4,2,2,0,0,4,4,0,1,1,1,1,0,0,0,1,1,2,1,0
1999,131,Azerbaijan,31,Asia,Western Asia,5,2,1,1,1,5,6,1,1,1,1,1,1,0,0,1,1,2,1,0
2000,131,Azerbaijan,31,Asia,Western Asia,4,2,1,1,0,3,4,1,1,1,1,0,0,0,0,1,1,2,1,0
2001,131,Azerbaijan,31,Asia,Western Asia,5,2,2,0,1,3,6,1,1,1,0,1,1,0,0,1,1,2,1,0
2002,131,Azerbaijan,31,Asia,Western Asia,4,2,2,0,0,4,5,1,1,1,1,1,1,0,0,0,1,2,1,0
2003,131,Azerbaijan,31,Asia,Western Asia,3,2,1,0,0,1,3,0,1,1,0,1,0,0,0,0,1,2,-999,0
2004,131,Azerbaijan,31,Asia,Western Asia,3,2,1,0,0,1,4,1,1,1,0,0,1,0,0,0,1,2,2,0
2005,131,Azerbaijan,31,Asia,Western Asia,2,1,1,0,0,1,5,1,1,2,0,0,1,0,0,0,1,2,,0
2006,131,Azerbaijan,31,Asia,Western Asia,2,1,1,0,0,3,4,1,1,1,1,0,1,0,0,0,1,2,,0
2007,131,Azerbaijan,31,Asia,Western Asia,2,1,1,0,0,,4,0,1,1,,0,1,,0,1,1,2,1,0
2008,131,Azerbaijan,31,Asia,Western Asia,3,2,1,0,0,,3,0,1,1,,0,0,,1,0,1,2,,0
2009,131,Azerbaijan,31,Asia,Western Asia,3,2,1,0,0,,2,0,1,0,,0,1,,0,0,1,2,,0
2010,131,Azerbaijan,31,Asia,Western Asia,3,2,1,0,0,,3,0,1,1,,0,1,,0,0,1,2,,0
2011,131,Azerbaijan,31,Asia,Western Asia,3,2,1,0,0,,4,0,1,1,,1,1,,0,0,1,2,,0
1981,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1982,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1983,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1984,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1985,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,0,,,,,2
1986,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1987,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,1,,,,,2
1988,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1989,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1990,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1991,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1992,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1993,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1994,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1995,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1996,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1997,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1998,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1999,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
2000,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
2001,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,0,2
2002,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
2003,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,6,2,1,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,0,2
2004,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,6,2,1,2,1,9,13,2,2,2,1,2,2,1,2,1,2,2,0,2
2005,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,7,2,2,2,1,8,12,2,2,2,1,1,2,1,2,1,2,2,,2
2006,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,6,2,1,2,1,8,10,2,2,2,1,1,2,1,0,1,2,2,,1
2007,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,6,2,1,2,1,,13,2,2,2,,2,2,,2,1,2,3,0,2
2008,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,6,2,1,2,1,,11,2,2,2,,2,1,,1,1,3,3,,2
2009,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,6,2,1,2,1,,13,2,2,2,,2,2,,2,1,3,2,,2
2010,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,6,2,1,2,1,,13,2,2,2,,2,2,,2,1,2,2,,2
2011,134,Bahamas,44,Latin America and the Caribbean,Caribbean Sea,6,2,1,2,1,,12,2,2,2,,2,1,,2,1,2,2,,1
1981,137,Bahrain,48,Asia,Western Asia,5,2,1,1,1,5,6,0,1,2,1,0,1,1,2,0,1,0,0,2
1982,137,Bahrain,48,Asia,Western Asia,5,1,2,1,1,4,5,0,1,2,1,1,0,0,0,1,2,0,0,2
1983,137,Bahrain,48,Asia,Western Asia,5,2,2,1,0,4,6,0,1,2,1,1,0,0,1,1,2,0,0,2
1984,137,Bahrain,48,Asia,Western Asia,4,1,2,0,1,2,4,0,1,2,1,0,0,0,1,0,1,0,0,1
1985,137,Bahrain,48,Asia,Western Asia,5,2,2,0,1,2,2,0,0,2,1,0,0,0,0,0,1,0,0,2
1986,137,Bahrain,48,Asia,Western Asia,6,2,2,0,2,4,6,0,1,2,1,1,0,0,1,1,2,0,0,2
1987,137,Bahrain,48,Asia,Western Asia,5,2,2,0,1,2,4,0,1,2,1,0,0,0,1,0,1,0,0,1
1988,137,Bahrain,48,Asia,Western Asia,6,2,2,1,1,3,5,0,1,2,1,0,0,0,1,1,1,0,0,1
1989,137,Bahrain,48,Asia,Western Asia,5,2,2,1,0,6,6,0,1,2,1,1,0,1,1,1,1,0,0,1
1990,137,Bahrain,48,Asia,Western Asia,5,2,2,0,1,4,4,0,1,2,1,0,0,1,1,0,1,0,0,1
1991,137,Bahrain,48,Asia,Western Asia,6,2,2,0,2,4,5,0,1,2,1,0,0,1,2,0,1,0,0,0
1992,137,Bahrain,48,Asia,Western Asia,6,2,2,0,2,2,4,0,1,2,0,0,0,1,1,0,1,0,0,0
1993,137,Bahrain,48,Asia,Western Asia,5,2,2,0,1,3,6,0,1,2,0,1,0,1,2,0,1,0,0,1
1994,137,Bahrain,48,Asia,Western Asia,6,2,2,1,1,2,4,0,1,2,0,0,0,1,1,0,1,0,1,1
1995,137,Bahrain,48,Asia,Western Asia,4,2,1,1,0,2,3,0,1,2,0,0,0,1,0,0,1,0,1,1
1996,137,Bahrain,48,Asia,Western Asia,3,2,1,0,0,1,5,0,1,2,0,1,0,0,1,0,1,0,1,1
1997,137,Bahrain,48,Asia,Western Asia,5,2,2,0,1,3,5,0,1,2,1,1,0,0,1,0,1,0,1,1
1998,137,Bahrain,48,Asia,Western Asia,3,2,1,0,0,3,4,0,1,1,1,0,0,0,1,1,1,0,1,1
1999,137,Bahrain,48,Asia,Western Asia,5,2,2,0,1,3,5,0,1,2,1,1,0,0,1,0,1,0,1,1
2000,137,Bahrain,48,Asia,Western Asia,3,2,1,0,0,3,4,0,1,2,1,0,0,0,0,1,1,0,1,1
2001,137,Bahrain,48,Asia,Western Asia,6,2,2,1,1,3,5,0,1,2,1,1,0,0,1,0,1,0,1,0
2002,137,Bahrain,48,Asia,Western Asia,7,2,2,2,1,4,6,0,1,2,1,1,0,0,1,1,1,1,1,0
2003,137,Bahrain,48,Asia,Western Asia,7,2,2,2,1,3,6,0,2,2,1,0,0,0,1,1,1,1,1,0
2004,137,Bahrain,48,Asia,Western Asia,6,2,2,1,1,3,6,1,1,2,1,0,0,0,1,1,1,2,1,0
2005,137,Bahrain,48,Asia,Western Asia,6,2,2,1,1,2,3,0,1,2,1,0,0,0,0,0,1,1,,0
2006,137,Bahrain,48,Asia,Western Asia,6,2,2,1,1,2,4,1,1,2,1,0,0,0,0,0,1,1,,0
2007,137,Bahrain,48,Asia,Western Asia,6,2,2,1,1,,6,1,1,2,,0,1,,0,1,1,1,0,0
2008,137,Bahrain,48,Asia,Western Asia,6,2,2,1,1,,7,0,2,2,,0,0,,2,1,1,2,,1
2009,137,Bahrain,48,Asia,Western Asia,7,2,2,2,1,,5,0,2,2,,0,0,,1,0,1,2,,1
2010,137,Bahrain,48,Asia,Western Asia,5,2,2,1,0,,4,0,2,1,,0,0,,1,0,1,1,,1
2011,137,Bahrain,48,Asia,Western Asia,0,0,0,0,0,,3,0,2,1,,0,0,,0,0,0,2,,1
1981,140,Bangladesh,50,Asia,Southcentral Asia,5,2,2,0,1,5,10,2,1,2,1,1,1,0,2,1,0,2,0,1
1982,140,Bangladesh,50,Asia,Southcentral Asia,4,1,1,1,1,4,7,1,1,2,1,0,0,0,1,2,0,0,0,1
1983,140,Bangladesh,50,Asia,Southcentral Asia,4,1,1,1,1,4,5,1,1,1,1,0,0,0,0,2,0,0,0,1
1984,140,Bangladesh,50,Asia,Southcentral Asia,5,2,1,1,1,3,5,1,1,2,1,0,0,0,0,1,0,0,0,1
1985,140,Bangladesh,50,Asia,Southcentral Asia,4,2,1,0,1,4,6,1,1,2,1,0,0,0,0,2,0,0,0,1
1986,140,Bangladesh,50,Asia,Southcentral Asia,5,2,1,1,1,6,8,1,1,2,1,0,1,1,2,1,0,2,0,2
1987,140,Bangladesh,50,Asia,Southcentral Asia,4,2,0,1,1,6,8,1,1,2,1,0,1,1,2,1,0,2,0,1
1988,140,Bangladesh,50,Asia,Southcentral Asia,4,2,0,1,1,8,9,1,1,2,1,1,1,1,1,2,0,2,0,2
1989,140,Bangladesh,50,Asia,Southcentral Asia,5,2,1,1,1,8,8,1,1,1,1,1,1,1,1,2,0,2,0,2
1990,140,Bangladesh,50,Asia,Southcentral Asia,3,2,0,0,1,5,4,1,1,1,1,0,0,1,0,1,1,2,0,1
1991,140,Bangladesh,50,Asia,Southcentral Asia,4,2,1,1,0,5,10,2,1,2,1,1,1,0,2,1,1,2,1,1
1992,140,Bangladesh,50,Asia,Southcentral Asia,1,1,0,0,0,5,8,1,1,2,1,1,1,0,1,1,1,2,1,1
1993,140,Bangladesh,50,Asia,Southcentral Asia,5,2,1,1,1,6,6,1,1,2,1,1,0,1,0,1,1,2,1,2
1994,140,Bangladesh,50,Asia,Southcentral Asia,3,2,1,0,0,6,7,1,1,2,1,0,1,1,1,1,1,2,1,2
1995,140,Bangladesh,50,Asia,Southcentral Asia,3,2,1,0,0,7,9,1,2,2,1,1,1,1,1,1,1,2,1,1
1996,140,Bangladesh,50,Asia,Southcentral Asia,3,1,1,1,0,7,9,1,2,2,1,1,1,1,1,1,1,2,1,1
1997,140,Bangladesh,50,Asia,Southcentral Asia,4,2,1,1,0,7,9,1,2,2,1,1,1,1,1,1,1,2,1,1
1998,140,Bangladesh,50,Asia,Southcentral Asia,3,2,0,0,1,6,8,1,2,2,1,1,0,1,1,1,1,2,1,1
1999,140,Bangladesh,50,Asia,Southcentral Asia,4,2,1,1,0,7,9,1,1,2,1,1,1,1,2,1,1,2,1,1
2000,140,Bangladesh,50,Asia,Southcentral Asia,2,1,0,1,0,6,7,0,1,2,1,0,1,1,2,1,1,2,1,1
2001,140,Bangladesh,50,Asia,Southcentral Asia,4,2,1,1,0,8,8,0,1,2,1,1,1,1,1,2,1,2,1,1
2002,140,Bangladesh,50,Asia,Southcentral Asia,1,1,0,0,0,7,7,0,1,1,1,1,2,1,2,0,1,2,1,1
2003,140,Bangladesh,50,Asia,Southcentral Asia,0,0,0,0,0,2,6,0,1,2,0,0,2,0,1,0,1,1,1,0
2004,140,Bangladesh,50,Asia,Southcentral Asia,1,1,0,0,0,4,7,1,1,2,1,0,2,0,1,0,1,1,1,0
2005,140,Bangladesh,50,Asia,Southcentral Asia,0,0,0,0,0,5,8,1,1,2,1,1,2,0,1,0,1,2,,0
2006,140,Bangladesh,50,Asia,Southcentral Asia,1,1,0,0,0,7,7,1,1,1,1,1,2,1,1,0,1,2,,0
2007,140,Bangladesh,50,Asia,Southcentral Asia,0,0,0,0,0,,6,0,2,1,,0,2,,1,0,2,2,0,0
2008,140,Bangladesh,50,Asia,Southcentral Asia,1,1,0,0,0,,7,0,2,1,,1,1,,2,0,1,1,,0
2009,140,Bangladesh,50,Asia,Southcentral Asia,1,1,0,0,0,,7,1,2,1,,1,1,,1,0,1,2,,0
2010,140,Bangladesh,50,Asia,Southcentral Asia,2,1,0,1,0,,7,1,2,1,,0,1,,1,1,1,2,,0
2011,140,Bangladesh,50,Asia,Southcentral Asia,2,1,0,1,0,,7,1,2,1,,1,1,,1,0,1,2,,0
1981,143,Barbados,52,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1982,143,Barbados,52,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1983,143,Barbados,52,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1984,143,Barbados,52,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1985,143,Barbados,52,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1986,143,Barbados,52,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1987,143,Barbados,52,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1988,143,Barbados,52,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
